,Annee,Mois,Jour,Date,Co2
614,1986,3,2,1986.1658,346.98
615,1986,3,9,1986.1849,347.11
616,1986,3,16,1986.2041,347.88
617,1986,3,23,1986.2233,349.34
618,1986,3,30,1986.2425,349.01
619,1986,4,6,1986.2616,349.6
620,1986,4,13,1986.2808,349.79
621,1986,4,20,1986.3,350.08
622,1986,4,27,1986.3192,350.51
623,1986,5,4,1986.3384,350.17
624,1986,5,11,1986.3575,350.59
625,1986,5,18,1986.3767,350.64
626,1986,5,25,1986.3959,350.1
627,1986,6,1,1986.4151,350.3
628,1986,6,8,1986.4342,350.29
629,1986,6,15,1986.4534,350.04
630,1986,6,22,1986.4726,349.58
631,1986,6,29,1986.4918,349.05
632,1986,7,6,1986.511,348.81
633,1986,7,13,1986.5301,347.61
634,1986,7,20,1986.5493,347.86
635,1986,7,27,1986.5685,347.74
636,1986,8,3,1986.5877,346.7
637,1986,8,10,1986.6068,346.21
638,1986,8,17,1986.626,345.66
639,1986,8,24,1986.6452,345.65
640,1986,8,31,1986.6644,345.22
641,1986,9,7,1986.6836,345.64
642,1986,9,14,1986.7027,345.74
643,1986,9,21,1986.7219,344.44
644,1986,9,28,1986.7411,344.86
645,1986,10,5,1986.7603,344.17
646,1986,10,12,1986.7795,344.37
647,1986,10,19,1986.7986,344.46
648,1986,10,26,1986.8178,345.27
649,1986,11,2,1986.8370000000002,345.47
650,1986,11,9,1986.8562,345.98
651,1986,11,16,1986.8753,345.91
652,1986,11,23,1986.8945,346.27
653,1986,11,30,1986.9137,347.12
654,1986,12,7,1986.9329,347.04
655,1986,12,14,1986.9521,347.09
656,1986,12,21,1986.9712,347.23
657,1986,12,28,1986.9904,347.57
658,1987,1,4,1987.0096,348.05
659,1987,1,11,1987.0288,348.79
660,1987,1,18,1987.0479,348.55
661,1987,1,25,1987.0671,348.97
662,1987,2,1,1987.0863,348.41
663,1987,2,8,1987.1055,348.19
664,1987,2,15,1987.1247,348.91
665,1987,2,22,1987.1438,349.55
666,1987,3,1,1987.1629999999998,349.08
667,1987,3,8,1987.1822,349.43
668,1987,3,15,1987.2014,350.0
669,1987,3,22,1987.2205,350.38
670,1987,3,29,1987.2397,351.1
671,1987,4,5,1987.2589,350.74
672,1987,4,12,1987.2781,351.07
673,1987,4,19,1987.2973,351.63
674,1987,4,26,1987.3164,351.73
675,1987,5,3,1987.3356,352.14
676,1987,5,10,1987.3548,352.07
677,1987,5,17,1987.374,352.02
678,1987,5,24,1987.3932,352.32
679,1987,5,31,1987.4123,352.11
680,1987,6,7,1987.4315,351.74
681,1987,6,14,1987.4507,351.35
682,1987,6,21,1987.4699,351.35
683,1987,6,28,1987.489,350.58
684,1987,7,5,1987.5082,350.77
685,1987,7,12,1987.5274,349.69
686,1987,7,19,1987.5466,350.21
687,1987,7,26,1987.5658,349.72
688,1987,8,2,1987.5849,347.29
689,1987,8,9,1987.6041,348.77
690,1987,8,16,1987.6233,348.22
691,1987,8,23,1987.6425,347.77
692,1987,8,30,1987.6616,346.8
693,1987,9,6,1987.6808,346.55
694,1987,9,13,1987.7,346.81
695,1987,9,20,1987.7192,345.76
696,1987,9,27,1987.7384,346.22
697,1987,10,4,1987.7575,346.36
698,1987,10,11,1987.7767,346.56
699,1987,10,18,1987.7959,346.96
700,1987,10,25,1987.8151,346.89
701,1987,11,1,1987.8342,347.38
702,1987,11,8,1987.8534,347.51
703,1987,11,15,1987.8726,348.07
704,1987,11,22,1987.8918,348.71
705,1987,11,29,1987.911,348.75
706,1987,12,6,1987.9301,348.73
707,1987,12,13,1987.9493,349.23
708,1987,12,20,1987.9685,349.37
709,1987,12,27,1987.9877,349.76
710,1988,1,3,1988.0068,350.14
711,1988,1,10,1988.026,350.28
712,1988,1,17,1988.0451,350.54
713,1988,1,24,1988.0642,350.71
714,1988,1,31,1988.0833,351.72
715,1988,2,7,1988.1025,351.26
716,1988,2,14,1988.1216,351.24
717,1988,2,21,1988.1407,352.16
718,1988,2,28,1988.1598,353.04
719,1988,3,6,1988.1789999999999,352.4
720,1988,3,13,1988.1981,351.95
721,1988,3,20,1988.2172,351.74
722,1988,3,27,1988.2363,353.05
723,1988,4,3,1988.2555,353.38
724,1988,4,10,1988.2746,353.52
725,1988,4,17,1988.2937,353.61
726,1988,4,24,1988.3128,354.4
727,1988,5,1,1988.332,353.92
728,1988,5,8,1988.3511,354.19
